,created_at,sentiment,volumne,sentiment_1dlag,volumne_1dlag,sentiment_2dlag,volumne_2dlag,sentiment_3dlag,volumne_3dlag,open,high,low,close,adjclose,open_prevDay,high_prevDay,low_prevDay,close_prevDay,adjclose_prevDay
16,2014-06-23,0.4799272727272728,11,0.3256,5.0,0.49758,5.0,0.3567,10.0,45.9,47.8,45.64,47.44,47.44,45.7,46.26,45.24,45.92,45.92
17,2014-06-24,0.3451608695652173,23,0.4799272727272728,11.0,0.3256,5.0,0.49758,5.0,47.79,48.38,46.33,46.5,46.5,45.9,47.8,45.64,47.44,47.44
18,2014-06-25,0.2907133333333333,15,0.3451608695652173,23.0,0.4799272727272728,11.0,0.3256,5.0,46.61,47.51,46.05,47.38,47.38,47.79,48.38,46.33,46.5,46.5
19,2014-06-26,0.32607058823529417,17,0.2907133333333333,15.0,0.3451608695652173,23.0,0.4799272727272728,11.0,47.43,48.08,46.84,47.12,47.12,46.61,47.51,46.05,47.38,47.38
20,2014-06-27,0.2506785714285715,14,0.32607058823529417,17.0,0.2907133333333333,15.0,0.3451608695652173,23.0,46.94,48.0,46.9,47.81,47.81,47.43,48.08,46.84,47.12,47.12
21,2014-06-28,0.6132,2,0.2506785714285715,14.0,0.32607058823529417,17.0,0.2907133333333333,15.0,,,,,,,,,,
22,2014-06-29,0.42029375,16,0.6132,2.0,0.2506785714285715,14.0,0.32607058823529417,17.0,,,,,,,,,,
23,2014-06-30,0.15147692307692304,13,0.42029375,16.0,0.6132,2.0,0.2506785714285715,14.0,47.91,48.9,47.8,48.01,48.01,46.94,48.0,46.9,47.81,47.81
24,2014-07-01,0.3679125,8,0.15147692307692304,13.0,0.42029375,16.0,0.6132,2.0,48.49,48.69,47.74,47.94,47.94,47.91,48.9,47.8,48.01,48.01
25,2014-07-02,0.361325,8,0.3679125,8.0,0.15147692307692304,13.0,0.42029375,16.0,48.13,48.47,45.41,45.89,45.89,48.49,48.69,47.74,47.94,47.94
26,2014-07-03,0.3749857142857143,14,0.361325,8.0,0.3679125,8.0,0.15147692307692304,13.0,46.26,46.38,44.8,45.85,45.85,48.13,48.47,45.41,45.89,45.89
27,2014-07-07,0.4777666666666667,3,0.3749857142857143,14.0,0.361325,8.0,0.3679125,8.0,45.5,45.96,44.08,44.53,44.53,46.26,46.38,44.8,45.85,45.85
28,2014-07-08,0.4434888888888888,9,0.4777666666666667,3.0,0.3749857142857143,14.0,0.361325,8.0,43.73,44.19,42.85,43.81,43.81,45.5,45.96,44.08,44.53,44.53
29,2014-07-09,0.16616000000000006,10,0.4434888888888888,9.0,0.4777666666666667,3.0,0.3749857142857143,14.0,44.25,44.84,43.84,44.61,44.61,43.73,44.19,42.85,43.81,43.81
30,2014-07-10,0.452516,25,0.16616000000000006,10.0,0.4434888888888888,9.0,0.4777666666666667,3.0,43.44,44.44,43.21,43.89,43.89,44.25,44.84,43.84,44.61,44.61
31,2014-07-11,0.2515545454545455,11,0.452516,25.0,0.16616000000000006,10.0,0.4434888888888888,9.0,44.12,44.32,43.52,43.63,43.63,43.44,44.44,43.21,43.89,43.89
32,2014-07-12,-0.2057,1,0.2515545454545455,11.0,0.452516,25.0,0.16616000000000006,10.0,,,,,,,,,,
33,2014-07-13,0.5615333333333333,6,-0.2057,1.0,0.2515545454545455,11.0,0.452516,25.0,,,,,,,,,,
34,2014-07-14,0.3348375,8,0.5615333333333333,6.0,-0.2057,1.0,0.2515545454545455,11.0,44.0,45.76,43.09,45.34,45.34,44.12,44.32,43.52,43.63,43.63
35,2014-07-15,0.3948777777777777,9,0.3348375,8.0,0.5615333333333333,6.0,-0.2057,1.0,45.35,45.53,43.62,43.92,43.92,44.0,45.76,43.09,45.34,45.34
36,2014-07-16,0.27471111111111113,9,0.3948777777777777,9.0,0.3348375,8.0,0.5615333333333333,6.0,44.36,44.96,43.36,43.43,43.43,45.35,45.53,43.62,43.92,43.92
37,2014-07-17,0.2463454545454545,11,0.27471111111111113,9.0,0.3948777777777777,9.0,0.3348375,8.0,43.23,44.11,42.72,43.08,43.08,44.36,44.96,43.36,43.43,43.43
38,2014-07-18,0.394735,20,0.2463454545454545,11.0,0.27471111111111113,9.0,0.3948777777777777,9.0,43.19,44.24,43.19,44.0,44.0,43.23,44.11,42.72,43.08,43.08
39,2014-07-19,0.3899,5,0.394735,20.0,0.2463454545454545,11.0,0.27471111111111113,9.0,,,,,,,,,,
40,2014-07-20,0.4453666666666667,9,0.3899,5.0,0.394735,20.0,0.2463454545454545,11.0,,,,,,,,,,
41,2014-07-21,0.5014533333333334,15,0.4453666666666667,9.0,0.3899,5.0,0.394735,20.0,43.45,44.64,43.34,44.11,44.11,43.19,44.24,43.19,44.0,44.0
42,2014-07-22,0.20244375,16,0.5014533333333334,15.0,0.4453666666666667,9.0,0.3899,5.0,44.44,44.66,43.82,43.92,43.92,43.45,44.64,43.34,44.11,44.11
43,2014-07-23,0.3964428571428572,21,0.20244375,16.0,0.5014533333333334,15.0,0.4453666666666667,9.0,44.0,44.95,43.89,44.5,44.5,44.44,44.66,43.82,43.92,43.92
44,2014-07-24,-0.02110000000000001,6,0.3964428571428572,21.0,0.20244375,16.0,0.5014533333333334,15.0,44.65,45.02,44.16,44.71,44.71,44.0,44.95,43.89,44.5,44.5
45,2014-07-25,0.3096176470588235,17,-0.02110000000000001,6.0,0.3964428571428572,21.0,0.20244375,16.0,44.54,45.39,44.35,44.71,44.71,44.65,45.02,44.16,44.71,44.71
46,2014-07-26,0.3840800000000001,10,0.3096176470588235,17.0,-0.02110000000000001,6.0,0.3964428571428572,21.0,,,,,,,,,,
47,2014-07-27,0.7170799999999999,5,0.3840800000000001,10.0,0.3096176470588235,17.0,-0.02110000000000001,6.0,,,,,,,,,,
48,2014-07-28,0.4794444444444444,9,0.7170799999999999,5.0,0.3840800000000001,10.0,0.3096176470588235,17.0,44.85,46.4,44.28,44.96,44.96,44.54,45.39,44.35,44.71,44.71
49,2014-07-29,0.40326666666666666,12,0.4794444444444444,9.0,0.7170799999999999,5.0,0.3840800000000001,10.0,45.32,45.66,44.97,45.0,45.0,44.85,46.4,44.28,44.96,44.96
50,2014-07-30,0.3438,20,0.40326666666666666,12.0,0.4794444444444444,9.0,0.7170799999999999,5.0,44.38,45.92,44.21,45.78,45.78,45.32,45.66,44.97,45.0,45.0
51,2014-07-31,0.4823166666666666,6,0.3438,20.0,0.40326666666666666,12.0,0.4794444444444444,9.0,45.85,46.28,44.3,44.66,44.66,44.38,45.92,44.21,45.78,45.78
52,2014-08-01,0.2943947368421053,19,0.4823166666666666,6.0,0.3438,20.0,0.40326666666666666,12.0,45.22,47.5,45.2,46.65,46.65,45.85,46.28,44.3,44.66,44.66
