date,sentiment,volumne,sentiment_1dlag,volumne_1dlag,sentiment_2dlag,volumne_2dlag,sentiment_3dlag,volumne_3dlag,open,high,low,close,adjclose
2020-10-27,0.16922488416770257,8849,,,,,,,423.76,430.5,420.1,424.68,424.68
2020-10-28,0.10496876571553512,9147,0.16922488416770257,8849.0,,,,,416.48,418.6,406.0,406.02,406.02
2020-10-29,0.13388838114298363,17988,0.10496876571553512,9147.0,0.16922488416770257,8849.0,,,409.96,418.06,406.46,410.83,410.83
2020-10-30,0.13797014379084976,11475,0.13388838114298363,17988.0,0.10496876571553512,9147.0,0.16922488416770257,8849.0,406.9,407.59,379.11,388.04,388.04
2020-10-31,0.1182825527704484,6064,0.13797014379084976,11475.0,0.13388838114298363,17988.0,0.10496876571553512,9147.0,,,,,
2020-11-01,0.14571200000000012,2650,0.1182825527704484,6064.0,0.13797014379084976,11475.0,0.13388838114298363,17988.0,,,,,
2020-11-02,0.1612026822423805,15323,0.14571200000000012,2650.0,0.1182825527704484,6064.0,0.13797014379084976,11475.0,394.0,406.98,392.3,400.51,400.51
2020-11-03,0.19025417755544116,26786,0.1612026822423805,15323.0,0.14571200000000012,2650.0,0.1182825527704484,6064.0,409.73,427.77,406.69,423.9,423.9
2020-11-05,0.1764949336772292,10856,0.19025417755544116,26786.0,0.1612026822423805,15323.0,0.14571200000000012,2650.0,428.3,440.0,424.0,438.09,438.09
2020-11-06,0.12831471160798652,17979,0.1764949336772292,10856.0,0.19025417755544116,26786.0,0.1612026822423805,15323.0,436.1,436.57,424.28,429.95,429.95
2020-11-07,0.1592519085805929,12470,0.12831471160798652,17979.0,0.1764949336772292,10856.0,0.19025417755544116,26786.0,,,,,
2020-11-08,0.1726501062786126,12232,0.1592519085805929,12470.0,0.12831471160798652,17979.0,0.1764949336772292,10856.0,,,,,
2020-11-09,0.14754836343428626,17995,0.1726501062786126,12232.0,0.1592519085805929,12470.0,0.12831471160798652,17979.0,439.5,452.5,421.0,421.26,421.26
2020-11-10,0.19030754732646815,12044,0.14754836343428626,17995.0,0.1726501062786126,12232.0,0.1592519085805929,12470.0,420.09,420.09,396.03,410.36,410.36
2020-11-11,0.18868289205702637,9820,0.19030754732646815,12044.0,0.14754836343428626,17995.0,0.1726501062786126,12232.0,416.45,418.7,410.58,417.13,417.13
2020-11-12,0.1875994851392457,8546,0.18868289205702637,9820.0,0.19030754732646815,12044.0,0.14754836343428626,17995.0,415.05,423.0,409.52,411.76,411.76
2020-11-13,0.0739139253933638,16969,0.1875994851392457,8546.0,0.18868289205702637,9820.0,0.19030754732646815,12044.0,410.85,412.53,401.66,408.5,408.5
