created_at,sentiment,volumne,sentiment_1dlag,volumne_1dlag,sentiment_2dlag,volumne_2dlag,sentiment_3dlag,volumne_3dlag,open,high,low,close,adjclose,open_prevDay,high_prevDay,low_prevDay,close_prevDay,adjclose_prevDay
2020-02-14,0.204675,8,-0.268,2.0,0.23570000000000002,7.0,0.26007142857142856,21.0,157.44,162.59,157.1,160.01,160.01,148.37,163.6,147.0,160.8,160.8
2020-02-15,0.19437894736842107,19,0.204675,8.0,-0.268,2.0,0.23570000000000002,7.0,,,,,,,,,,
2020-02-16,0.08143333333333332,3,0.19437894736842107,19.0,0.204675,8.0,-0.268,2.0,,,,,,,,,,
2020-02-17,0.18245714285714287,7,0.08143333333333332,3.0,0.19437894736842107,19.0,0.204675,8.0,,,,,,,,,,
2020-02-18,0.2673,5,0.18245714285714287,7.0,0.08143333333333332,3.0,0.19437894736842107,19.0,168.32,172.0,166.47,171.68,171.68,157.44,162.59,157.1,160.01,160.01
2020-02-19,0.2885333333333333,6,0.2673,5.0,0.18245714285714287,7.0,0.08143333333333332,3.0,184.7,188.96,180.2,183.48,183.48,168.32,172.0,166.47,171.68,171.68
2020-02-20,0.13592352941176475,17,0.2885333333333333,6.0,0.2673,5.0,0.18245714285714287,7.0,182.39,182.4,171.99,179.88,179.88,184.7,188.96,180.2,183.48,183.48
2020-02-21,0.164925,4,0.13592352941176475,17.0,0.2885333333333333,6.0,0.2673,5.0,181.4,182.61,176.09,180.2,180.2,182.39,182.4,171.99,179.88,179.88
2020-02-22,0.38882000000000005,5,0.164925,4.0,0.13592352941176475,17.0,0.2885333333333333,6.0,,,,,,,,,,
2020-02-25,0.10145714285714284,14,0.38882000000000005,5.0,0.164925,4.0,0.13592352941176475,17.0,169.8,171.32,157.4,159.98,159.98,167.8,172.7,164.44,166.76,166.76
2020-02-26,0.3976444444444444,9,0.10145714285714284,14.0,0.38882000000000005,5.0,0.164925,4.0,156.5,162.66,155.22,155.76,155.76,169.8,171.32,157.4,159.98,159.98
2020-02-27,0.11315,2,0.3976444444444444,9.0,0.10145714285714284,14.0,0.38882000000000005,5.0,146.0,147.95,133.8,135.8,135.8,156.5,162.66,155.22,155.76,155.76
2020-02-28,0.10115,2,0.11315,2.0,0.3976444444444444,9.0,0.10145714285714284,14.0,125.94,138.1,122.3,133.6,133.6,146.0,147.95,133.8,135.8,135.8
2020-02-29,0.7088,1,0.10115,2.0,0.11315,2.0,0.3976444444444444,9.0,,,,,,,,,,
2020-03-02,0.21478181818181818,11,0.7088,1.0,0.10115,2.0,0.11315,2.0,142.25,148.74,137.33,148.72,148.72,125.94,138.1,122.3,133.6,133.6
