created_at,sentiment,volumne,sentiment_1dlag,volumne_1dlag,sentiment_2dlag,volumne_2dlag,sentiment_1dlag_2dlag,volumne_1dlag_2dlag,sentiment_3dlag,volumne_3dlag,sentiment_1dlag_3dlag,volumne_1dlag_3dlag,sentiment_2dlag_3dlag,volumne_2dlag_3dlag,sentiment_1dlag_2dlag_3dlag,volumne_1dlag_2dlag_3dlag,open,high,low,close,adjclose
2014-06-17,0.3144375,24,0.24835000000000002,4.0,0.4753,1.0,0.33440000000000003,3.0,0.33440000000000003,3.0,0.2590428571428572,14.0,0.16612500000000002,8.0,0.3078444444444444,9.0,44.82,47.11,44.57,46.33,46.33
2014-06-18,0.4650458333333334,24,0.3144375,24.0,0.24835000000000002,4.0,0.4753,1.0,0.4753,1.0,0.33440000000000003,3.0,0.2590428571428572,14.0,0.16612500000000002,8.0,46.3,46.34,45.22,45.42,45.42
2014-06-19,0.52591,10,0.4650458333333334,24.0,0.3144375,24.0,0.24835000000000002,4.0,0.24835000000000002,4.0,0.4753,1.0,0.33440000000000003,3.0,0.2590428571428572,14.0,45.78,47.06,45.4,45.56,45.56
2014-06-20,0.35669999999999996,10,0.52591,10.0,0.4650458333333334,24.0,0.3144375,24.0,0.3144375,24.0,0.24835000000000002,4.0,0.4753,1.0,0.33440000000000003,3.0,45.7,46.26,45.24,45.92,45.92
2014-06-21,0.49758,5,0.35669999999999996,10.0,0.52591,10.0,0.4650458333333334,24.0,0.4650458333333334,24.0,0.3144375,24.0,0.24835000000000002,4.0,0.4753,1.0,,,,,
2014-06-22,0.3256,5,0.49758,5.0,0.35669999999999996,10.0,0.52591,10.0,0.52591,10.0,0.4650458333333334,24.0,0.3144375,24.0,0.24835000000000002,4.0,,,,,
2014-06-23,0.47992727272727276,11,0.3256,5.0,0.49758,5.0,0.35669999999999996,10.0,0.35669999999999996,10.0,0.52591,10.0,0.4650458333333334,24.0,0.3144375,24.0,45.9,47.8,45.64,47.44,47.44
2014-06-24,0.3451608695652173,23,0.47992727272727276,11.0,0.3256,5.0,0.49758,5.0,0.49758,5.0,0.35669999999999996,10.0,0.52591,10.0,0.4650458333333334,24.0,47.79,48.38,46.33,46.5,46.5
2014-06-25,0.2907133333333333,15,0.3451608695652173,23.0,0.47992727272727276,11.0,0.3256,5.0,0.3256,5.0,0.49758,5.0,0.35669999999999996,10.0,0.52591,10.0,46.61,47.51,46.05,47.38,47.38
2014-06-26,0.32607058823529417,17,0.2907133333333333,15.0,0.3451608695652173,23.0,0.47992727272727276,11.0,0.47992727272727276,11.0,0.3256,5.0,0.49758,5.0,0.35669999999999996,10.0,47.43,48.08,46.84,47.12,47.12
